Location,Year 2021,Month 2021,Day 2021,Year 2022,Month 2022,Day 2022,Year 2023,Month 2023,Day 2023,Year 2024,Month 2024,Day 2024,Predicted Month,Predicted Day
稚内,2021,5,8,2022,5,6,2023,5,3,2024,5,1,5,13
旭川,2021,4,29,2022,4,26,2023,4,25,2024,4,24,5,4
網走,2021,5,6,2022,4,27,2023,4,28,2024,4,28,5,10
札幌,2021,4,22,2022,4,23,2023,4,15,2024,4,18,5,1
帯広,2021,4,24,2022,4,22,2023,4,20,2024,4,23,5,2
釧路,2021,5,8,2022,5,8,2023,5,1,2024,5,3,5,16
室蘭,2021,4,27,2022,4,25,2023,4,21,2024,4,26,5,4
函館,2021,4,20,2022,4,21,2023,4,14,2024,4,18,4,28
青森,2021,4,13,2022,4,16,2023,4,7,2024,4,15,4,22
秋田,2021,4,4,2022,4,12,2023,4,4,2024,4,10,4,17
盛岡,2021,4,9,2022,4,14,2023,4,3,2024,4,12,4,18
山形,2021,4,2,2022,4,11,2023,3,31,2024,4,7,4,13
仙台,2021,3,28,2022,4,8,2023,3,26,2024,4,2,4,8
福島,2021,3,25,2022,4,4,2023,3,24,2024,4,3,4,7
新潟,2021,3,29,2022,4,8,2023,3,27,2024,4,6,4,8
金沢,2021,3,23,2022,3,30,2023,3,23,2024,4,1,4,3
富山,2021,3,24,2022,4,1,2023,3,22,2024,4,2,4,3
長野,2021,3,29,2022,4,9,2023,3,28,2024,4,8,4,11
宇都宮,2021,3,20,2022,3,27,2023,3,20,2024,3,31,3,30
福井,2021,3,22,2022,3,31,2023,3,22,2024,4,1,4,1
前橋,2021,3,21,2022,3,27,2023,3,18,2024,3,31,3,29
熊谷,2021,3,19,2022,3,24,2023,3,17,2024,3,31,3,27
水戸,2021,3,20,2022,3,30,2023,3,20,2024,3,31,3,30
岐阜,2021,3,16,2022,3,21,2023,3,16,2024,3,27,3,25
名古屋,2021,3,17,2022,3,22,2023,3,17,2024,3,28,3,24
甲府,2021,3,18,2022,3,21,2023,3,17,2024,3,29,3,25
銚子,2021,3,22,2022,3,27,2023,3,22,2024,4,1,3,30
津,2021,3,20,2022,3,26,2023,3,22,2024,3,30,3,29
静岡,2021,3,20,2022,3,21,2023,3,19,2024,3,30,3,24
東京,2021,3,14,2022,3,20,2023,3,14,2024,3,29,3,24
横浜,2021,3,17,2022,3,21,2023,3,15,2024,4,1,3,25
松江,2021,3,14,2022,3,26,2023,3,20,2024,3,28,3,29
鳥取,2021,3,19,2022,3,27,2023,3,19,2024,3,29,3,29
京都,2021,3,16,2022,3,24,2023,3,17,2024,3,29,3,26
彦根,2021,3,22,2022,3,31,2023,3,23,2024,4,2,4,1
広島,2021,3,11,2022,3,21,2023,3,19,2024,3,25,3,25
岡山,2021,3,20,2022,3,26,2023,3,22,2024,3,30,3,28
神戸,2021,3,24,2022,3,25,2023,3,24,2024,4,1,3,27
大阪,2021,3,19,2022,3,23,2023,3,19,2024,3,30,3,27
和歌山,2021,3,18,2022,3,24,2023,3,20,2024,3,30,3,24
奈良,2021,3,21,2022,3,25,2023,3,20,2024,3,31,3,28
松山,2021,3,15,2022,3,21,2023,3,18,2024,3,27,3,24
高松,2021,3,15,2022,3,24,2023,3,22,2024,3,29,3,27
高知,2021,3,15,2022,3,19,2023,3,17,2024,3,23,3,22
徳島,2021,3,25,2022,3,25,2023,3,23,2024,4,1,3,28
下関,2021,3,16,2022,3,25,2023,3,22,2024,3,29,3,26
福岡,2021,3,12,2022,3,17,2023,3,18,2024,3,27,3,22
佐賀,2021,3,17,2022,3,19,2023,3,22,2024,3,29,3,24
大分,2021,3,18,2022,3,23,2023,3,24,2024,3,30,3,24
長崎,2021,3,14,2022,3,22,2023,3,21,2024,3,26,3,23
熊本,2021,3,17,2022,3,20,2023,3,22,2024,3,26,3,22
鹿児島,2021,3,17,2022,3,20,2023,3,24,2024,3,29,3,26
宮崎,2021,3,16,2022,3,18,2023,3,19,2024,3,25,3,23
名瀬,2021,1,25,2022,1,18,2023,1,20,2024,1,17,1,20
石垣島,2021,1,27,2022,1,27,2023,2,3,2024,1,22,1,18
宮古島,2021,1,16,2022,1,19,2023,1,15,2024,1,5,1,17
那覇,2021,1,4,2022,1,11,2023,1,7,2024,1,13,1,16
